fold,AUC,fit_s,predict_s,model
1,0.8858475341862854,0.0017171999788843095,0.0008515000226907432,GNB
2,0.8592284739982949,0.0022377000423148274,0.0008262000046670437,GNB
3,0.818429545731336,0.0011451999889686704,0.0006636000471189618,GNB
4,0.8852301790281331,0.001546100014820695,0.0007835000287741423,GNB
5,0.8892948483741323,0.00182819995097816,0.0008832000312395394,GNB
1,0.9299673386816564,0.004126200044993311,6.284846500027925,KDE-NB
2,0.919954938497138,0.002751899999566376,5.2681584999663755,KDE-NB
3,0.9047619047619048,0.002185199991799891,4.922963699966203,KDE-NB
4,0.932932955791012,0.005670499987900257,4.9509596999851055,KDE-NB
5,0.9234335038363172,0.004318999999668449,5.245705000008456,KDE-NB
