column,dtype,n_unique,pct_null,sample_values,suggested_unit,periodicity,notes
stock,object,4422,0.0,"['IVC', 'CSLT', 'LPX', 'GDYN', 'ARA']",,anual (archivo indica 'annually'),
endDate,object,255,0.0,"['2019-12-31', '2018-12-31', '2017-12-31', '2016-12-31', '2019-03-31']",fecha / año,fecha detectada (posible cierre fiscal),
accountsPayable,float64,14819,6.26,"[np.float64(88003000.0), np.float64(92469000.0), np.float64(90566000.0), np.float64(88236000.0), np.float64(19596000.0)]",USD (posible),anual (archivo indica 'annually'),
inventory,float64,8867,44.95,"[np.float64(121184000.0), np.float64(128644000.0), np.float64(121933000.0), np.float64(135644000.0), np.float64(265000000.0)]",USD (posible),anual (archivo indica 'annually'),
longTermDebt,float64,10746,35.91,"[np.float64(219464000.0), np.float64(225733000.0), np.float64(241405000.0), np.float64(146088000.0), np.float64(347000000.0)]",USD (sugerido),anual (archivo indica 'annually'),
netReceivables,float64,13691,16.94,"[np.float64(140013000.0), np.float64(138476000.0), np.float64(143464000.0), np.float64(132707000.0), np.float64(31397000.0)]",USD (sugerido),anual (archivo indica 'annually'),
netTangibleAssets,float64,17089,0.91,"[np.float64(-91334000.0), np.float64(-48632000.0), np.float64(-8233000.0), np.float64(32762000.0), np.float64(68911000.0)]",USD (sugerido),anual (archivo indica 'annually'),
longTermInvestments,float64,6874,57.18,"[np.float64(85000.0), np.float64(90000.0), np.float64(103000.0), np.float64(108000.0), np.float64(10000000.0)]",USD (posible),anual (archivo indica 'annually'),
totalCurrentAssets,float64,16999,1.03,"[np.float64(355877000.0), np.float64(397410000.0), np.float64(456914000.0), np.float64(409072000.0), np.float64(95470000.0)]",USD (sugerido),anual (archivo indica 'annually'),
propertyPlantEquipment,float64,14905,9.95,"[np.float64(92183000.0), np.float64(74306000.0), np.float64(80016000.0), np.float64(75359000.0), np.float64(18762000.0)]",USD (posible),anual (archivo indica 'annually'),
otherStockholderEquity,float64,9878,31.21,"[np.float64(3128000.0), np.float64(12793000.0), np.float64(36870000.0), np.float64(-19335000.0), np.float64(-153000000.0)]",USD (posible),anual (archivo indica 'annually'),
deferredLongTermAssetCharges,float64,5215,65.42,"[np.float64(928000.0), np.float64(352000.0), np.float64(518000.0), np.float64(837000.0), np.float64(1000000.0)]",USD (sugerido),anual (archivo indica 'annually'),
totalCurrentLiabilities,float64,16830,1.11,"[np.float64(218657000.0), np.float64(198208000.0), np.float64(218064000.0), np.float64(220861000.0), np.float64(54907000.0)]",USD (sugerido),anual (archivo indica 'annually'),
cash,float64,15816,3.32,"[np.float64(80063000.0), np.float64(116907000.0), np.float64(176528000.0), np.float64(124234000.0), np.float64(43017000.0)]",USD (sugerido),anual (archivo indica 'annually'),
otherAssets,float64,13772,9.41,"[np.float64(4131000.0), np.float64(6270000.0), np.float64(97473000.0), np.float64(29579000.0), np.float64(24589000.0)]",USD (sugerido),anual (archivo indica 'annually'),
treasuryStock,float64,11239,25.92,"[np.float64(-101199000.0), np.float64(-90640000.0), np.float64(-64136000.0), np.float64(-119065000.0), np.float64(-559000000.0)]",USD (posible),anual (archivo indica 'annually'),
goodWill,float64,7307,44.82,"[np.float64(373403000.0), np.float64(381273000.0), np.float64(401283000.0), np.float64(360602000.0), np.float64(30000000.0)]",USD (posible),anual (archivo indica 'annually'),
otherLiab,float64,13079,18.78,"[np.float64(66949000.0), np.float64(74965000.0), np.float64(183270000.0), np.float64(114407000.0), np.float64(1785000.0)]",USD (sugerido),anual (archivo indica 'annually'),
retainedEarnings,float64,15882,8.11,"[np.float64(87475000.0), np.float64(142447000.0), np.float64(187999000.0), np.float64(266144000.0), np.float64(-455042000.0)]",USD (posible),anual (archivo indica 'annually'),
otherCurrentAssets,float64,9404,35.99,"[np.float64(2851000.0), np.float64(3221000.0), np.float64(4253000.0), np.float64(6446000.0), np.float64(2186000.0)]",USD (sugerido),anual (archivo indica 'annually'),
commonStock,float64,7264,6.75,"[np.float64(9590000.0), np.float64(9421000.0), np.float64(9306000.0), np.float64(9157000.0), np.float64(15000.0)]",USD (posible),anual (archivo indica 'annually'),
totalAssets,float64,17179,0.98,"[np.float64(852126000.0), np.float64(885855000.0), np.float64(1066033000.0), np.float64(903743000.0), np.float64(242784000.0)]",USD (sugerido),anual (archivo indica 'annually'),
otherCurrentLiab,float64,11837,24.02,"[np.float64(21634000.0), np.float64(22750000.0), np.float64(34119000.0), np.float64(33800000.0), np.float64(18768000.0)]",USD (sugerido),anual (archivo indica 'annually'),
deferredLongTermLiab,float64,2235,84.97,"[np.float64(602000.0), np.float64(402000.0), np.float64(787000.0), np.float64(793000.0), np.float64(21429000.0)]",USD (sugerido),anual (archivo indica 'annually'),
totalStockholderEquity,float64,17100,0.9,"[np.float64(308516000.0), np.float64(359147000.0), np.float64(423294000.0), np.float64(422387000.0), np.float64(172874000.0)]",USD (posible),anual (archivo indica 'annually'),
totalLiab,float64,17087,1.06,"[np.float64(543610000.0), np.float64(526708000.0), np.float64(642739000.0), np.float64(481356000.0), np.float64(69910000.0)]",USD (sugerido),anual (archivo indica 'annually'),
capitalSurplus,float64,14068,17.26,"[np.float64(312650000.0), np.float64(297919000.0), np.float64(290125000.0), np.float64(266151000.0), np.float64(627899000.0)]",USD (posible),anual (archivo indica 'annually'),
intangibleAssets,float64,10234,35.82,"[np.float64(26447000.0), np.float64(26506000.0), np.float64(30244000.0), np.float64(29023000.0), np.float64(1157000.0)]",USD (sugerido),anual (archivo indica 'annually'),
shortTermInvestments,float64,3592,77.97,"[np.float64(16411000.0), np.float64(11327000.0), np.float64(32025000.0), np.float64(65882000.0), np.float64(13134000.0)]",USD (posible),anual (archivo indica 'annually'),
shortLongTermDebt,float64,4282,68.96,"[np.float64(39172000.0), np.float64(42553000.0), np.float64(44937000.0), np.float64(48274000.0), np.float64(16100000.0)]",USD (sugerido),anual (archivo indica 'annually'),
minorityInterest,float64,3732,74.84,"[np.float64(290472000.0), np.float64(297980000.0), np.float64(318136000.0), np.float64(344848000.0), np.float64(192000000.0)]",USD (posible),anual (archivo indica 'annually'),
